source,name,open,location,genre,city,state,year_opened,the_geom,year_closed,audience,notes,known_open_date,approved,location_confirmed,date_confirmed,cartodb_id,created_at,updated_at
1968 Spring Gay Scene Guide Quarterly,NY Motorbike Club,false,149 West 21 St,-73.99513181,New York,NY,1968,0101000020E61000000000C051B67F52C080EF95E6095F4440,,,,,true,true,false,521,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,New Follies,false,232 West 48 St,-73.98562247,New York,NY,1980,0101000020E6100000000000E81C7F52C00042CC6859614440,,,,,true,true,false,522,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Numbers,false,2057 Broadway,-73.98222828,New York,NY,1980,0101000020E6100000000060D5DE7E52C08AFC386A9A634440,,,,,true,true,false,523,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Murray Hill Mob,false,139 East 34 St,-73.9794109,New York,NY,1980,0101000020E6100000000080D0A57E52C0E114584A845F4440,,,,,true,true,false,524,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Pink Pages 1991,Moonshadow,false,366 Eighth Av,-73.99601557,New York,NY,1991,0101000020E6100000000000A3BB7F52C0ED3FD576D05F4440,,,,,true,true,false,525,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Paradise Club,false,35 West 43 St,-73.98165696,New York,NY,1980,0101000020E6100000000000EFD97E52C01A1BCEA8A3604440,,,,,true,true,false,526,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
1968 Spring Gay Scene Guide Quarterly,Mystique East,false,256 East 49 St,-73.96999135,New York,NY,1968,0101000020E610000000000094087E52C09732FC398A604440,,,,,true,true,false,527,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
1969 Gay Scene Guide,New Amsterdam Theatre,false,214 West 42 St,-73.9876519,New York,NY,1969,0101000020E6100000000080D5367F52C06FFE0502CA604440,,,,,true,true,false,528,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Painted Pony,false,1485 Third Av,-73.95504752,New York,NY,1980,0101000020E61000000000C0EE1B7D52C0661BE4C27E634440,,,Piano bar,,true,true,false,529,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Map 1980,Nickel Bar,false,127 West 72 St,-73.97974055,New York,NY,1980,0101000020E6100000000040F4B27E52C0531896EC94634440,,,black,,true,true,false,530,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Pink Pages Summer Fall 1996,Out of the Closet Thrift Shop,false,220 East 81 St,-73.95568434,New York,NY,1996,0101000020E61000000000C03F257D52C0E0CCD00336634440,,,,,true,true,false,531,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Guide 1970,P.J. Clarke's,false,915 Third Ave,-73.96840113,New York,NY,1970,0101000020E6100000FFFFBF4EF77D52C0E34F919D25614440,,,,,true,true,false,532,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
1969 Gay Scene Guide,One of New York c/o Ericson Foundation,false,1045 Park Av,-73.95702779,New York,NY,1969,0101000020E61000000000404F3B7D52C06CB16265E0634440,,,,,true,true,false,533,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Pink Pages Winter Spring 1994,One Potato,false,518 Hudson St,-74.00630004,New York,NY,1994,0101000020E6100000000040BA638052C00D8F27F2E85D4440,,,,,true,true,false,534,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
1968 Spring Gay Scene Guide Quarterly,Moroccan Village,false,23 West 8 St,-73.99743095,New York,NY,1968,0101000020E6100000000000A4D87F52C00DEEF06FD05D4440,,,,,true,true,false,535,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
Pink Pages Winter Spring 1994,Oscar Wilde Memorial Bookshop,false,15 Christopher St,-74.00055207,New York,NY,1994,0101000020E61000000000C0EF088052C048C0E3BBF45D4440,,,,,true,true,false,536,2015-03-23 17:42:39.915826+00,2015-03-23 17:42:39.915826+00
